gps_timestamp,latitude,longitude,depth_timestamp,depth,sonde_timestamp,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Battery V
1583685194.02,43.4101441,-72.0367319,1583685193.95,-3.03999996185,1583685194,-0.509999990463,61.4000015259,2.35299992561,109.699996948,92,94,12.6599998474,3.34599995613,0.0500000007451,108.699996948,0.0500000007451,71,0.550000011921,0,6.98000001907,0.899999976158,2.19899988174,5.80000019073
1583685195.01,43.4101452,-72.0367338,1583685194.98,-2.9399998188,1583685195,-0.519999980927,61.4000015259,2.3789999485,109.900001526,92,94,12.6599998474,3.382999897,0.0500000007451,108.900001526,0.0500000007451,71,0.550000011921,0,6.98000001907,0.899999976158,2.19799995422,5.80000019073
1583685196.02,43.4101472,-72.0367384,1583685195.95,-2.95000004768,1583685196,-0.519999980927,61.5,2.39899992943,110.099998474,92,94,12.6499996185,3.41100001335,0.0500000007451,109,0.0500000007451,71,0.550000011921,0,6.98000001907,1,2.1970000267,5.80000019073
1583685197.02,43.4101477,-72.0367376,1583685196.98,-2.99000000954,1583685197,-0.519999980927,61.5999984741,2.41799998283,110.199996948,92,94,12.6499996185,3.43799996376,0.0500000007451,109.199996948,0.0500000007451,71,0.560000002384,0,6.98000001907,1,2.19600009918,5.80000019073
1583685198.02,43.4101487,-72.036736,1583685198.05,-2.91999983788,1583685198,-0.509999990463,61.7000007629,2.43000006676,110.300003052,92,94,12.6499996185,3.45499992371,0.0500000007451,109.300003052,0.0500000007451,71,0.560000002384,0,6.98000001907,1,2.19600009918,5.80000019073
1583685199.02,43.41015,-72.0367334,1583685198.96,-2.9399998188,1583685199,-0.5,61.7999992371,2.4430000782,110.5,92,94,12.6499996185,3.47399997711,0.0500000007451,109.400001526,0.0599999986589,71,0.560000002384,0,6.98000001907,1,2.19600009918,5.80000019073
1583685200.01,43.4101534,-72.0367356,1583685199.96,-3.05999994278,1583685200,-0.509999990463,61.7999992371,2.45900011063,110.599998474,92,93.9000015259,12.6499996185,3.49699997902,0.0500000007451,109.599998474,0.0500000007451,71,0.560000002384,0,6.98000001907,1.10000002384,2.19499993324,5.80000019073
1583685201.02,43.4101549,-72.0367332,1583685200.99,-3.16999983788,1583685201,-0.509999990463,61.9000015259,2.48099994659,110.699996948,92,93.9000015259,12.6499996185,3.52699995041,0.0500000007451,109.699996948,0.0599999986589,71,0.569999992847,0,6.98000001907,1.10000002384,2.19499993324,5.80000019073
1583685202.03,43.4101556,-72.036729,1583685201.97,-3.25999999046,1583685202,-0.509999990463,62,2.49900007248,110.800003052,92,93.9000015259,12.6499996185,3.5529999733,0.0500000007451,109.800003052,0.0599999986589,71,0.579999983311,0,6.98000001907,1.10000002384,2.19400000572,5.80000019073
1583685203.02,43.4101578,-72.0367278,1583685202.95,-3.31999993324,1583685203,-0.519999980927,62,2.51900005341,110.900001526,92,93.9000015259,12.6499996185,3.58200001717,0.0500000007451,109.900001526,0.0599999986589,71,0.569999992847,0,6.98000001907,1.20000004768,2.19400000572,5.80000019073
1583685204.01,43.4101587,-72.0367245,1583685203.98,-3.32999992371,1583685204,-0.509999990463,62.0999984741,2.54399991035,111,92,93.9000015259,12.6499996185,3.617000103,0.0500000007451,110,0.0599999986589,71,0.569999992847,0,6.98000001907,1.20000004768,2.19400000572,5.80000019073
1583685205.04,43.4101605,-72.0367211,1583685205.06,-3.37999987602,1583685205,-0.519999980927,62.0999984741,2.57399988174,111.099998474,92,93.9000015259,12.6499996185,3.65899991989,0.0500000007451,110.099998474,0.0599999986589,72,0.569999992847,0,6.98000001907,1.20000004768,2.19400000572,5.80000019073
1583685206.02,43.4101605,-72.036719,1583685205.96,-3.59999990463,1583685206,-0.509999990463,62.2000007629,2.59800004959,111.199996948,92,94,12.6499996185,3.69499993324,0.0500000007451,110.099998474,0.0599999986589,72,0.569999992847,0,6.98000001907,1.20000004768,2.1930000782,5.80000019073
1583685207.02,43.4101603,-72.0367167,1583685207.04,-3.63999986649,1583685207,-0.509999990463,62.2000007629,2.62199997902,111.300003052,92,94,12.6499996185,3.72799992561,0.0500000007451,110.199996948,0.0599999986589,72,0.560000002384,0,6.98000001907,1.29999995232,2.1930000782,5.80000019073
1583685208.01,43.4101617,-72.0367157,1583685207.97,-3.72000002861,1583685208,-0.5,62.2000007629,2.64499998093,111.300003052,92,94,12.6599998474,3.76099991798,0.0500000007451,110.300003052,0.0599999986589,72,0.560000002384,0,6.98000001907,1.29999995232,2.1930000782,5.80000019073
1583685209.07,43.4101642,-72.0367149,1583685209,-3.6899998188,1583685209,-0.509999990463,62.2999992371,3.37700009346,111.400001526,92,94,12.6599998474,4.80200004578,0.0500000007451,110.300003052,0.0599999986589,72,0.560000002384,0,6.96999979019,1.39999997616,2.1930000782,5.80000019073
1583685210.07,43.4101649,-72.036712,1583685210.02,-3.64999985695,1583685210,-0.509999990463,62.2999992371,3.39199995995,111.400001526,92,94,12.6599998474,4.82299995422,0.0500000007451,110.400001526,0.0599999986589,72,0.560000002384,0,6.96999979019,1.39999997616,2.19400000572,5.80000019073
1583685211.07,43.410166,-72.0367105,1583685211,-3.64999985695,1583685211,-0.5,62.2999992371,3.35199999809,111.5,92.0999984741,94,12.6599998474,4.76700019836,0.0500000007451,110.400001526,0.0599999986589,72,0.550000011921,0,6.96999979019,1.5,2.1930000782,5.80000019073
1583685212.09,43.4101703,-72.0367042,1583685211.98,-3.50999999046,1583685212,-0.490000009537,62.4000015259,3.33999991417,111.5,92.0999984741,94,12.6599998474,4.74900007248,0.0500000007451,110.5,0.0599999986589,72,0.550000011921,0,6.96999979019,1.60000002384,2.1930000782,5.80000019073
1583685213.08,43.4101724,-72.0366976,1583685212.95,-3.55999994278,1583685213,-0.490000009537,62.4000015259,3.33299994469,111.599998474,92.0999984741,94,12.6599998474,4.7389998436,0.0500000007451,110.5,0.0599999986589,72,0.540000021458,0,6.96999979019,1.60000002384,2.1930000782,5.80000019073
1583685214.08,43.4101739,-72.0366983,1583685213.97,-3.59999990463,1583685214,-0.479999989271,62.4000015259,3.32800006866,111.599998474,92.0999984741,94,12.6599998474,4.73199987411,0.0500000007451,110.5,0.070000000298,72,0.550000011921,0,6.96999979019,1.70000004768,2.1930000782,5.80000019073
